Location Name,Scanned,Occupied,Expected Barcodes,Detected Barcodes,Comparison Result
ZA001A,true,true,DX9850004338,DX9850004338,The location was occupied by the expected items
ZA002A,true,true,DX9850004338,DX9850004338,The location was occupied by the expected items
ZA003A,true,false,,"","The location was empty, as expected"
ZA004A,true,true,DX9850004348,DX9850004348,The location was occupied by the expected items
ZA005A,true,false,,"","The location was empty, as expected"
ZA006A,true,false,,"","The location was empty, as expected"
ZA007A,true,false,,"","The location was empty, as expected"
ZA008A,true,false,,"","The location was empty, as expected"
ZA009A,true,false,,"","The location was empty, as expected"
ZA010A,true,false,,"","The location was empty, as expected"
ZA011A,true,false,,"","The location was empty, as expected"
ZA012A,true,false,,"","The location was empty, as expected"
ZA013A,true,false,,"","The location was empty, as expected"
ZA014A,true,true,DX9850000498,DX9850000498,The location was occupied by the expected items
ZA015A,true,false,,"","The location was empty, as expected"
ZA016A,true,false,,"","The location was empty, as expected"
ZA017A,true,true,DX9850000160,DX9850000160,The location was occupied by the expected items
ZA018A,true,false,,"","The location was empty, as expected"
ZA019A,true,true,DX9850000123,DX9850000123,The location was occupied by the expected items
ZA020A,true,false,,"","The location was empty, as expected"
ZA021A,true,false,,"","The location was empty, as expected"
ZA022A,true,false,,"","The location was empty, as expected"
ZA023A,true,false,,"","The location was empty, as expected"
ZA024A,true,false,,"","The location was empty, as expected"
ZA025A,true,false,,"","The location was empty, as expected"
ZA026A,true,true,DX9850005448,DX9850005448,The location was occupied by the expected items
ZA027A,true,false,,"","The location was empty, as expected"
ZA028A,true,true,DX9850000623,DX9850000623,The location was occupied by the expected items
ZA029A,true,true,DX9850000622,DX9850000622,The location was occupied by the expected items
ZA030A,true,false,,"","The location was empty, as expected"
ZA031A,true,true,DX9850000510,DX9850000510,The location was occupied by the expected items
ZA032A,true,false,,"","The location was empty, as expected"
ZA033A,true,true,DX9811261966,DX9811261966,The location was occupied by the expected items
ZA034A,true,false,,"","The location was empty, as expected"
ZA035A,true,false,,"","The location was empty, as expected"
ZA036A,true,false,,"","The location was empty, as expected"
ZA037A,true,true,DX9850000624,DX9850000624,The location was occupied by the expected items
ZA001B,true,false,,"","The location was empty, as expected"
ZA002B,true,false,,"","The location was empty, as expected"
ZA003B,true,false,,"","The location was empty, as expected"
ZA004B,true,false,,"","The location was empty, as expected"
ZA005B,true,false,,"","The location was empty, as expected"
ZA006B,true,false,,"","The location was empty, as expected"
ZA007B,true,false,,"","The location was empty, as expected"
ZA008B,true,false,,"","The location was empty, as expected"
ZA009B,true,false,,"","The location was empty, as expected"
ZA010B,true,false,,"","The location was empty, as expected"
ZA011B,true,false,,"","The location was empty, as expected"
ZA012B,true,false,,"","The location was empty, as expected"
ZA013B,true,false,,"","The location was empty, as expected"
ZA014B,true,false,,"","The location was empty, as expected"
ZA015B,true,false,,"","The location was empty, as expected"
ZA016B,true,false,,"","The location was empty, as expected"
ZA017B,true,false,,"","The location was empty, as expected"
ZA018B,true,false,,"","The location was empty, as expected"
ZA019B,true,false,,"","The location was empty, as expected"
ZA020B,true,false,,"","The location was empty, as expected"
ZA021B,true,false,,"","The location was empty, as expected"
ZA022B,true,false,,"","The location was empty, as expected"
ZA023B,true,false,,"","The location was empty, as expected"
ZA024B,true,false,,"","The location was empty, as expected"
ZA025B,true,false,,"","The location was empty, as expected"
ZA026B,true,false,,"","The location was empty, as expected"
ZA027B,true,false,,"","The location was empty, as expected"
ZA028B,true,false,,"","The location was empty, as expected"
ZA029B,true,false,,"","The location was empty, as expected"
ZA030B,true,false,,"","The location was empty, as expected"
ZA031B,true,false,,"","The location was empty, as expected"
ZA032B,true,false,,"","The location was empty, as expected"
ZA033B,true,false,,"","The location was empty, as expected"
ZA034B,true,false,,"","The location was empty, as expected"
ZA035B,true,false,,"","The location was empty, as expected"
ZA036B,true,false,,"","The location was empty, as expected"
ZA037B,true,false,,"","The location was empty, as expected"
ZA001C,true,false,,"","The location was empty, as expected"
ZA002C,true,false,,"","The location was empty, as expected"
ZA003C,true,false,,"","The location was empty, as expected"
ZA004C,true,false,,"","The location was empty, as expected"
ZA005C,true,false,,"","The location was empty, as expected"
ZA006C,true,false,,"","The location was empty, as expected"
ZA007C,true,false,,"","The location was empty, as expected"
ZA008C,true,false,,"","The location was empty, as expected"
ZA009C,true,false,,"","The location was empty, as expected"
ZA010C,true,false,,"","The location was empty, as expected"
ZA011C,true,false,,"","The location was empty, as expected"
ZA012C,true,false,,"","The location was empty, as expected"
ZA013C,true,false,,"","The location was empty, as expected"
ZA014C,true,false,,"","The location was empty, as expected"
ZA015C,true,false,,"","The location was empty, as expected"
ZA016C,true,false,,"","The location was empty, as expected"
ZA017C,true,false,,"","The location was empty, as expected"
ZA018C,true,false,,"","The location was empty, as expected"
ZA019C,true,false,,"","The location was empty, as expected"
ZA020C,true,false,,"","The location was empty, as expected"
ZA021C,true,false,,"","The location was empty, as expected"
ZA022C,true,false,,"","The location was empty, as expected"
ZA023C,true,false,,"","The location was empty, as expected"
ZA024C,true,false,,"","The location was empty, as expected"
ZA025C,true,false,,"","The location was empty, as expected"
ZA026C,true,false,,"","The location was empty, as expected"
ZA027C,true,false,,"","The location was empty, as expected"
ZA028C,true,false,,"","The location was empty, as expected"
ZA029C,true,false,,"","The location was empty, as expected"
ZA030C,true,false,,"","The location was empty, as expected"
ZA031C,true,false,,"","The location was empty, as expected"
ZA032C,true,false,,"","The location was empty, as expected"
ZA033C,true,false,,"","The location was empty, as expected"
ZA034C,true,false,,"","The location was empty, as expected"
ZA035C,true,false,,"","The location was empty, as expected"
ZA036C,true,false,,"","The location was empty, as expected"
ZA037C,true,false,,"","The location was empty, as expected"
ZA001D,true,false,,"","The location was empty, as expected"
ZA002D,true,false,,"","The location was empty, as expected"
ZA003D,true,false,,"","The location was empty, as expected"
ZA004D,true,false,,"","The location was empty, as expected"
ZA005D,true,false,,"","The location was empty, as expected"
ZA006D,true,false,,"","The location was empty, as expected"
ZA007D,true,false,,"","The location was empty, as expected"
ZA008D,true,false,,"","The location was empty, as expected"
ZA009D,true,false,,"","The location was empty, as expected"
ZA010D,true,false,,"","The location was empty, as expected"
ZA011D,true,false,,"","The location was empty, as expected"
ZA012D,true,false,,"","The location was empty, as expected"
ZA013D,true,false,,"","The location was empty, as expected"
ZA014D,true,false,,"","The location was empty, as expected"
ZA015D,true,false,,"","The location was empty, as expected"
ZA016D,true,false,,"","The location was empty, as expected"
ZA017D,true,false,,"","The location was empty, as expected"
ZA018D,true,false,,"","The location was empty, as expected"
ZA019D,true,false,,"","The location was empty, as expected"
ZA020D,true,false,,"","The location was empty, as expected"
ZA021D,true,false,,"","The location was empty, as expected"
ZA022D,true,false,,"","The location was empty, as expected"
ZA023D,true,false,,"","The location was empty, as expected"
ZA024D,true,false,,"","The location was empty, as expected"
ZA025D,true,false,,"","The location was empty, as expected"
ZA026D,true,false,,"","The location was empty, as expected"
ZA027D,true,false,,"","The location was empty, as expected"
ZA028D,true,false,,"","The location was empty, as expected"
ZA029D,true,false,,"","The location was empty, as expected"
ZA030D,true,false,,"","The location was empty, as expected"
ZA031D,true,false,,"","The location was empty, as expected"
ZA032D,true,false,,"","The location was empty, as expected"
ZA033D,true,false,,"","The location was empty, as expected"
ZA034D,true,false,,"","The location was empty, as expected"
ZA035D,true,false,,"","The location was empty, as expected"
ZA036D,true,false,,"","The location was empty, as expected"
ZA037D,true,false,,"","The location was empty, as expected"
ZA001E,true,false,,"","The location was empty, as expected"
ZA002E,true,false,,"","The location was empty, as expected"
ZA003E,true,false,,"","The location was empty, as expected"
ZA004E,true,false,,"","The location was empty, as expected"
ZA005E,true,false,,"","The location was empty, as expected"
ZA006E,true,false,,"","The location was empty, as expected"
ZA007E,true,false,,"","The location was empty, as expected"
ZA008E,true,false,,"","The location was empty, as expected"
ZA009E,true,false,,"","The location was empty, as expected"
ZA010E,true,false,,"","The location was empty, as expected"
ZA011E,true,false,,"","The location was empty, as expected"
ZA012E,true,false,,"","The location was empty, as expected"
ZA013E,true,false,,"","The location was empty, as expected"
ZA014E,true,false,,"","The location was empty, as expected"
ZA015E,true,false,,"","The location was empty, as expected"
ZA016E,true,false,,"","The location was empty, as expected"
ZA017E,true,false,,"","The location was empty, as expected"
ZA018E,true,false,,"","The location was empty, as expected"
ZA019E,true,false,,"","The location was empty, as expected"
ZA020E,true,false,,"","The location was empty, as expected"
ZA021E,true,false,,"","The location was empty, as expected"
ZA022E,true,false,,"","The location was empty, as expected"
ZA023E,true,false,,"","The location was empty, as expected"
ZA024E,true,false,,"","The location was empty, as expected"
ZA025E,true,false,,"","The location was empty, as expected"
ZA026E,true,false,,"","The location was empty, as expected"
ZA027E,true,false,,"","The location was empty, as expected"
ZA028E,true,false,,"","The location was empty, as expected"
ZA029E,true,false,,"","The location was empty, as expected"
ZA030E,true,false,,"","The location was empty, as expected"
ZA031E,true,false,,"","The location was empty, as expected"
ZA032E,true,false,,"","The location was empty, as expected"
ZA033E,true,false,,"","The location was empty, as expected"
ZA034E,true,false,,"","The location was empty, as expected"
ZA035E,true,false,,"","The location was empty, as expected"
ZA036E,true,false,,"","The location was empty, as expected"
ZA037E,true,false,,"","The location was empty, as expected"
ZA001F,true,false,,"","The location was empty, as expected"
ZA002F,true,false,,"","The location was empty, as expected"
ZA003F,true,false,,"","The location was empty, as expected"
ZA004F,true,false,,"","The location was empty, as expected"
ZA005F,true,false,,"","The location was empty, as expected"
ZA006F,true,false,,"","The location was empty, as expected"
ZA007F,true,false,,"","The location was empty, as expected"
ZA008F,true,false,,"","The location was empty, as expected"
ZA009F,true,false,,"","The location was empty, as expected"
ZA010F,true,false,,"","The location was empty, as expected"
ZA011F,true,false,,"","The location was empty, as expected"
ZA012F,true,false,,"","The location was empty, as expected"
ZA013F,true,false,,"","The location was empty, as expected"
ZA014F,true,false,,"","The location was empty, as expected"
ZA015F,true,false,,"","The location was empty, as expected"
ZA016F,true,false,,"","The location was empty, as expected"
ZA017F,true,false,,"","The location was empty, as expected"
ZA018F,true,false,,"","The location was empty, as expected"
ZA019F,true,false,,"","The location was empty, as expected"
ZA020F,true,false,,"","The location was empty, as expected"
ZA021F,true,false,,"","The location was empty, as expected"
ZA022F,true,false,,"","The location was empty, as expected"
ZA023F,true,false,,"","The location was empty, as expected"
ZA024F,true,false,,"","The location was empty, as expected"
ZA025F,true,false,,"","The location was empty, as expected"
ZA026F,true,false,,"","The location was empty, as expected"
ZA027F,true,false,,"","The location was empty, as expected"
ZA028F,true,false,,"","The location was empty, as expected"
ZA029F,true,false,,"","The location was empty, as expected"
ZA030F,true,false,,"","The location was empty, as expected"
ZA031F,true,false,,"","The location was empty, as expected"
ZA032F,true,false,,"","The location was empty, as expected"
ZA033F,true,false,,"","The location was empty, as expected"
ZA034F,true,false,,"","The location was empty, as expected"
ZA035F,true,false,,"","The location was empty, as expected"
ZA036F,true,false,,"","The location was empty, as expected"
ZA037F,true,false,,"","The location was empty, as expected"
ZB001A,false,false,DX9850005442,"","The location was empty, but it should have been occupied"
ZB002A,false,false,,"","The location was empty, as expected"
ZB003A,false,false,,"","The location was empty, as expected"
ZB004A,false,false,,"","The location was empty, as expected"
ZB005A,false,false,DX9850000191,"","The location was empty, but it should have been occupied"
ZB006A,false,false,,"","The location was empty, as expected"
ZB007A,false,false,DX9850000526,"","The location was empty, but it should have been occupied"
ZB008A,false,false,,"","The location was empty, as expected"
ZB009A,false,false,,"","The location was empty, as expected"
ZB010A,false,false,DX9850005443,"","The location was empty, but it should have been occupied"
ZB011A,false,false,DX9850002588,"","The location was empty, but it should have been occupied"
ZB012A,false,false,,"","The location was empty, as expected"
ZB013A,false,false,,"","The location was empty, as expected"
ZB014A,false,false,,"","The location was empty, as expected"
ZB015A,false,false,,"","The location was empty, as expected"
ZB016A,false,false,,"","The location was empty, as expected"
ZB017A,false,false,,"","The location was empty, as expected"
ZB018A,false,false,DX9850004351,"","The location was empty, but it should have been occupied"
ZB019A,false,false,DX9860000499,"","The location was empty, but it should have been occupied"
ZB020A,false,false,,"","The location was empty, as expected"
ZB021A,false,false,,"","The location was empty, as expected"
ZB022A,false,false,DX9850004350,"","The location was empty, but it should have been occupied"
ZB023A,false,false,,"","The location was empty, as expected"
ZB024A,false,false,,"","The location was empty, as expected"
ZB025A,false,false,,"","The location was empty, as expected"
ZB026A,false,false,,"","The location was empty, as expected"
ZB027A,false,false,,"","The location was empty, as expected"
ZB028A,false,false,,"","The location was empty, as expected"
ZB029A,false,false,,"","The location was empty, as expected"
ZB030A,false,false,,"","The location was empty, as expected"
ZB031A,false,false,,"","The location was empty, as expected"
ZB032A,false,false,DX9850002828,"","The location was empty, but it should have been occupied"
ZB033A,false,false,,"","The location was empty, as expected"
ZB034A,false,false,,"","The location was empty, as expected"
ZB035A,false,false,DX9850002827,"","The location was empty, but it should have been occupied"
ZB036A,false,false,,"","The location was empty, as expected"
ZB037A,false,false,,"","The location was empty, as expected"
ZB001B,false,false,,"","The location was empty, as expected"
ZB002B,false,false,,"","The location was empty, as expected"
ZB003B,false,false,,"","The location was empty, as expected"
ZB004B,false,false,,"","The location was empty, as expected"
ZB005B,false,false,,"","The location was empty, as expected"
ZB006B,false,false,,"","The location was empty, as expected"
ZB007B,false,false,,"","The location was empty, as expected"
ZB008B,false,false,,"","The location was empty, as expected"
ZB009B,false,false,,"","The location was empty, as expected"
ZB010B,false,false,,"","The location was empty, as expected"
ZB011B,false,false,,"","The location was empty, as expected"
ZB012B,false,false,,"","The location was empty, as expected"
ZB013B,false,false,,"","The location was empty, as expected"
ZB014B,false,false,,"","The location was empty, as expected"
ZB015B,false,false,,"","The location was empty, as expected"
ZB016B,false,false,,"","The location was empty, as expected"
ZB017B,false,false,,"","The location was empty, as expected"
ZB018B,false,false,,"","The location was empty, as expected"
ZB019B,false,false,,"","The location was empty, as expected"
ZB020B,false,false,,"","The location was empty, as expected"
ZB021B,false,false,,"","The location was empty, as expected"
ZB022B,false,false,,"","The location was empty, as expected"
ZB023B,false,false,,"","The location was empty, as expected"
ZB024B,false,false,,"","The location was empty, as expected"
ZB025B,false,false,,"","The location was empty, as expected"
ZB026B,false,false,,"","The location was empty, as expected"
ZB027B,false,false,,"","The location was empty, as expected"
ZB028B,false,false,,"","The location was empty, as expected"
ZB029B,false,false,,"","The location was empty, as expected"
ZB030B,false,false,,"","The location was empty, as expected"
ZB031B,false,false,,"","The location was empty, as expected"
ZB032B,false,false,,"","The location was empty, as expected"
ZB033B,false,false,,"","The location was empty, as expected"
ZB034B,false,false,,"","The location was empty, as expected"
ZB035B,false,false,,"","The location was empty, as expected"
ZB036B,false,false,,"","The location was empty, as expected"
ZB037B,false,false,,"","The location was empty, as expected"
ZB001C,false,false,,"","The location was empty, as expected"
ZB002C,false,false,,"","The location was empty, as expected"
ZB003C,false,false,,"","The location was empty, as expected"
ZB004C,false,false,,"","The location was empty, as expected"
ZB005C,false,false,,"","The location was empty, as expected"
ZB006C,false,false,,"","The location was empty, as expected"
ZB007C,false,false,,"","The location was empty, as expected"
ZB008C,false,false,,"","The location was empty, as expected"
ZB009C,false,false,,"","The location was empty, as expected"
ZB010C,false,false,,"","The location was empty, as expected"
ZB011C,false,false,,"","The location was empty, as expected"
ZB012C,false,false,,"","The location was empty, as expected"
ZB013C,false,false,,"","The location was empty, as expected"
ZB014C,false,false,,"","The location was empty, as expected"
ZB015C,false,false,,"","The location was empty, as expected"
ZB016C,false,false,,"","The location was empty, as expected"
ZB017C,false,false,,"","The location was empty, as expected"
ZB018C,false,false,,"","The location was empty, as expected"
ZB019C,false,false,,"","The location was empty, as expected"
ZB020C,false,false,,"","The location was empty, as expected"
ZB021C,false,false,,"","The location was empty, as expected"
ZB022C,false,false,,"","The location was empty, as expected"
ZB023C,false,false,,"","The location was empty, as expected"
ZB024C,false,false,,"","The location was empty, as expected"
ZB025C,false,false,,"","The location was empty, as expected"
ZB026C,false,false,,"","The location was empty, as expected"
ZB027C,false,false,,"","The location was empty, as expected"
ZB028C,false,false,,"","The location was empty, as expected"
ZB029C,false,false,,"","The location was empty, as expected"
ZB030C,false,false,,"","The location was empty, as expected"
ZB031C,false,false,,"","The location was empty, as expected"
ZB032C,false,false,,"","The location was empty, as expected"
ZB033C,false,false,,"","The location was empty, as expected"
ZB034C,false,false,,"","The location was empty, as expected"
ZB035C,false,false,,"","The location was empty, as expected"
ZB036C,false,false,,"","The location was empty, as expected"
ZB037C,false,false,,"","The location was empty, as expected"
ZB001D,false,false,,"","The location was empty, as expected"
ZB002D,false,false,,"","The location was empty, as expected"
ZB003D,false,false,,"","The location was empty, as expected"
ZB004D,false,false,,"","The location was empty, as expected"
ZB005D,false,false,,"","The location was empty, as expected"
ZB006D,false,false,,"","The location was empty, as expected"
ZB007D,false,false,,"","The location was empty, as expected"
ZB008D,false,false,,"","The location was empty, as expected"
ZB009D,false,false,,"","The location was empty, as expected"
ZB010D,false,false,,"","The location was empty, as expected"
ZB011D,false,false,,"","The location was empty, as expected"
ZB012D,false,false,,"","The location was empty, as expected"
ZB013D,false,false,,"","The location was empty, as expected"
ZB014D,false,false,,"","The location was empty, as expected"
ZB015D,false,false,,"","The location was empty, as expected"
ZB016D,false,false,,"","The location was empty, as expected"
ZB017D,false,false,,"","The location was empty, as expected"
ZB018D,false,false,,"","The location was empty, as expected"
ZB019D,false,false,,"","The location was empty, as expected"
ZB020D,false,false,,"","The location was empty, as expected"
ZB021D,false,false,,"","The location was empty, as expected"
ZB022D,false,false,,"","The location was empty, as expected"
ZB023D,false,false,,"","The location was empty, as expected"
ZB024D,false,false,,"","The location was empty, as expected"
ZB025D,false,false,,"","The location was empty, as expected"
ZB026D,false,false,,"","The location was empty, as expected"
ZB027D,false,false,,"","The location was empty, as expected"
ZB028D,false,false,,"","The location was empty, as expected"
ZB029D,false,false,,"","The location was empty, as expected"
ZB030D,false,false,,"","The location was empty, as expected"
ZB031D,false,false,,"","The location was empty, as expected"
ZB032D,false,false,,"","The location was empty, as expected"
ZB033D,false,false,,"","The location was empty, as expected"
ZB034D,false,false,,"","The location was empty, as expected"
ZB035D,false,false,,"","The location was empty, as expected"
ZB036D,false,false,,"","The location was empty, as expected"
ZB037D,false,false,,"","The location was empty, as expected"
ZB001E,false,false,,"","The location was empty, as expected"
ZB002E,false,false,,"","The location was empty, as expected"
ZB003E,false,false,,"","The location was empty, as expected"
ZB004E,false,false,,"","The location was empty, as expected"
ZB005E,false,false,,"","The location was empty, as expected"
ZB006E,false,false,,"","The location was empty, as expected"
ZB007E,false,false,,"","The location was empty, as expected"
ZB008E,false,false,,"","The location was empty, as expected"
ZB009E,false,false,,"","The location was empty, as expected"
ZB010E,false,false,,"","The location was empty, as expected"
ZB011E,false,false,,"","The location was empty, as expected"
ZB012E,false,false,,"","The location was empty, as expected"
ZB013E,false,false,,"","The location was empty, as expected"
ZB014E,false,false,,"","The location was empty, as expected"
ZB015E,false,false,,"","The location was empty, as expected"
ZB016E,false,false,,"","The location was empty, as expected"
ZB017E,false,false,,"","The location was empty, as expected"
ZB018E,false,false,,"","The location was empty, as expected"
ZB019E,false,false,,"","The location was empty, as expected"
ZB020E,false,false,,"","The location was empty, as expected"
ZB021E,false,false,,"","The location was empty, as expected"
ZB022E,false,false,,"","The location was empty, as expected"
ZB023E,false,false,,"","The location was empty, as expected"
ZB024E,false,false,,"","The location was empty, as expected"
ZB025E,false,false,,"","The location was empty, as expected"
ZB026E,false,false,,"","The location was empty, as expected"
ZB027E,false,false,,"","The location was empty, as expected"
ZB028E,false,false,,"","The location was empty, as expected"
ZB029E,false,false,,"","The location was empty, as expected"
ZB030E,false,false,,"","The location was empty, as expected"
ZB031E,false,false,,"","The location was empty, as expected"
ZB032E,false,false,,"","The location was empty, as expected"
ZB033E,false,false,,"","The location was empty, as expected"
ZB034E,false,false,,"","The location was empty, as expected"
ZB035E,false,false,,"","The location was empty, as expected"
ZB036E,false,false,,"","The location was empty, as expected"
ZB037E,false,false,,"","The location was empty, as expected"
ZB001F,false,false,,"","The location was empty, as expected"
ZB002F,false,false,,"","The location was empty, as expected"
ZB003F,false,false,,"","The location was empty, as expected"
ZB004F,false,false,,"","The location was empty, as expected"
ZB005F,false,false,,"","The location was empty, as expected"
ZB006F,false,false,,"","The location was empty, as expected"
ZB007F,false,false,,"","The location was empty, as expected"
ZB008F,false,false,,"","The location was empty, as expected"
ZB009F,false,false,,"","The location was empty, as expected"
ZB010F,false,false,,"","The location was empty, as expected"
ZB011F,false,false,,"","The location was empty, as expected"
ZB012F,false,false,,"","The location was empty, as expected"
ZB013F,false,false,,"","The location was empty, as expected"
ZB014F,false,false,,"","The location was empty, as expected"
ZB015F,false,false,,"","The location was empty, as expected"
ZB016F,false,false,,"","The location was empty, as expected"
ZB017F,false,false,,"","The location was empty, as expected"
ZB018F,false,false,,"","The location was empty, as expected"
ZB019F,false,false,,"","The location was empty, as expected"
ZB020F,false,false,,"","The location was empty, as expected"
ZB021F,false,false,,"","The location was empty, as expected"
ZB022F,false,false,,"","The location was empty, as expected"
ZB023F,false,false,,"","The location was empty, as expected"
ZB024F,false,false,,"","The location was empty, as expected"
ZB025F,false,false,,"","The location was empty, as expected"
ZB026F,false,false,,"","The location was empty, as expected"
ZB027F,false,false,,"","The location was empty, as expected"
ZB028F,false,false,,"","The location was empty, as expected"
ZB029F,false,false,,"","The location was empty, as expected"
ZB030F,false,false,,"","The location was empty, as expected"
ZB031F,false,false,,"","The location was empty, as expected"
ZB032F,false,false,,"","The location was empty, as expected"
ZB033F,false,false,,"","The location was empty, as expected"
ZB034F,false,false,,"","The location was empty, as expected"
ZB035F,false,false,,"","The location was empty, as expected"
ZB036F,false,false,,"","The location was empty, as expected"
ZB037F,false,false,,"","The location was empty, as expected"
ZC001A,true,true,DX9810081452,DX9810081452,The location was occupied by the expected items
ZC002A,true,false,DX981026177,"","The location was empty, but it should have been occupied"
ZC003A,true,true,DX9811265597,DX9811265597,The location was occupied by the expected items
ZC004A,true,false,DX981026231,"","The location was empty, but it should have been occupied"
ZC005A,true,false,,"","The location was empty, as expected"
ZC006A,true,false,,"","The location was empty, as expected"
ZC007A,true,true,DX9850003888,DX9850003888,The location was occupied by the expected items
ZC008A,true,false,,"","The location was empty, as expected"
ZC009A,true,false,,"","The location was empty, as expected"
ZC010A,true,false,,"","The location was empty, as expected"
ZC011A,true,false,,"","The location was empty, as expected"
ZC012A,true,false,,"","The location was empty, as expected"
ZC013A,true,false,,"","The location was empty, as expected"
ZC014A,true,false,,"","The location was empty, as expected"
ZC015A,true,false,,"","The location was empty, as expected"
ZC016A,true,true,DX9850003562,DX9850003562,The location was occupied by the expected items
ZC017A,true,true,DX9850003561,DX9850003561,The location was occupied by the expected items
ZC018A,true,true,DX9850003560,DX9850003560,The location was occupied by the expected items
ZC019A,true,false,,"","The location was empty, as expected"
ZC020A,true,true,DX9850004310,DX9850004310,The location was occupied by the expected items
ZC021A,true,true,DX9850000030,DX9850000030,The location was occupied by the expected items
ZC022A,true,false,,"","The location was empty, as expected"
ZC023A,true,true,DX9850003552,DX9850003552,The location was occupied by the expected items
ZC024A,true,true,DX9850004309,DX9850004309,The location was occupied by the expected items
ZC025A,true,true,DX9850004731,DX9850004731,The location was occupied by the expected items
ZC026A,true,true,DX9806152112,DX9806152112,The location was occupied by the expected items
ZC027A,true,false,,"","The location was empty, as expected"
ZC028A,true,false,,"","The location was empty, as expected"
ZC029A,true,false,,"","The location was empty, as expected"
ZC030A,true,false,,"","The location was empty, as expected"
ZC031A,true,false,,"","The location was empty, as expected"
ZC032A,true,false,,"","The location was empty, as expected"
ZC033A,true,true,DX9850000522,DX9850000522,The location was occupied by the expected items
ZC034A,true,false,,"","The location was empty, as expected"
ZC035A,true,true,DX9850000636,DX9850000636,The location was occupied by the expected items
ZC036A,true,true,DX9850000520,DX9850000520,The location was occupied by the expected items
ZC037A,true,false,,"","The location was empty, as expected"
ZC001B,true,true,,DX985900052481,"The location was occupied by an item, but should have been empty"
ZC002B,true,false,,"","The location was empty, as expected"
ZC003B,true,false,,"","The location was empty, as expected"
ZC004B,true,false,,"","The location was empty, as expected"
ZC005B,true,false,,"","The location was empty, as expected"
ZC006B,true,false,,"","The location was empty, as expected"
ZC007B,true,false,,"","The location was empty, as expected"
ZC008B,true,false,,"","The location was empty, as expected"
ZC009B,true,false,,"","The location was empty, as expected"
ZC010B,true,false,,"","The location was empty, as expected"
ZC011B,true,false,,"","The location was empty, as expected"
ZC012B,true,false,,"","The location was empty, as expected"
ZC013B,true,false,,"","The location was empty, as expected"
ZC014B,true,false,,"","The location was empty, as expected"
ZC015B,true,false,,"","The location was empty, as expected"
ZC016B,true,false,,"","The location was empty, as expected"
ZC017B,true,false,,"","The location was empty, as expected"
ZC018B,true,false,,"","The location was empty, as expected"
ZC019B,true,false,,"","The location was empty, as expected"
ZC020B,true,false,,"","The location was empty, as expected"
ZC021B,true,false,,"","The location was empty, as expected"
ZC022B,true,false,,"","The location was empty, as expected"
ZC023B,true,false,,"","The location was empty, as expected"
ZC024B,true,false,,"","The location was empty, as expected"
ZC025B,true,false,,"","The location was empty, as expected"
ZC026B,true,false,,"","The location was empty, as expected"
ZC027B,true,false,,"","The location was empty, as expected"
ZC028B,true,false,,"","The location was empty, as expected"
